id,name,full_name,private,owner_login,owner_type,html_url,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,default_branch,topics,visibility,license
132464395,JavaGuide,Snailclimb/JavaGuide,False,Snailclimb,User,https://github.com/Snailclimb/JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,False,2018-05-07T13:27:00Z,2025-10-29T13:45:29Z,2025-10-29T09:03:18Z,https://javaguide.cn,177301,152339,152339,Java,46025,73,main,"algorithms,interview,java,jvm,mysql,redis,spring,system,system-design,zookeeper",public,apache-2.0
561730219,hello-algo,krahets/hello-algo,False,krahets,User,https://github.com/krahets/hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation",False,2022-11-04T11:08:34Z,2025-10-29T14:57:52Z,2025-10-16T21:33:36Z,https://www.hello-algo.com,370903,118120,118120,Java,14506,22,main,"algo,algorithm,algorithms,book,data-structure,data-structures,data-structures-and-algorithms,dsa,education,leetcode,programming",public,other
206462776,GitHub-Chinese-Top-Charts,GrowingGit/GitHub-Chinese-Top-Charts,False,GrowingGit,User,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,False,2019-09-05T03:01:56Z,2025-10-29T14:06:22Z,2024-10-12T06:51:36Z,,123199,103379,103379,Java,13364,187,master,,public,other
22790488,java-design-patterns,iluwatar/java-design-patterns,False,iluwatar,User,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java,False,2014-08-09T16:45:18Z,2025-10-29T12:59:32Z,2025-10-21T21:30:34Z,https://java-design-patterns.com,46754,93232,93232,Java,27312,198,master,"awesome-list,design-patterns,hacktoberfest,java,principles,snippets,snippets-collection,snippets-library",public,other
127988011,mall,macrozheng/mall,False,macrozheng,User,https://github.com/macrozheng/mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,False,2018-04-04T01:11:44Z,2025-10-29T14:38:55Z,2025-10-17T06:27:15Z,https://www.macrozheng.com/admin/,58711,81977,81977,Java,29524,12,master,"docker,elasticsearch,elk,java,mongodb,mybatis,mysql,rabbitmq,redis,spring,spring-boot,spring-cloud,spring-security,springboot,springcloud,swagger-ui",public,apache-2.0
