repo_full_name,owner_login,language,license,stargazers_count,forks_count,open_issues_count,issues_count,pulls_closed_count,pulls_merged_count,releases_count,commits_52w_total,age_days,days_since_last_push
Snailclimb/JavaGuide,Snailclimb,Java,apache-2.0,152339,46025,73,70,200,174,0,206,2732,0
krahets/hello-algo,krahets,Java,other,118120,14506,22,51,200,138,9,103,1090,12
GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,Java,other,103379,13364,187,197,16,0,0,0,2246,382
iluwatar/java-design-patterns,iluwatar,Java,other,93232,27312,198,29,200,97,0,213,4098,7
macrozheng/mall,macrozheng,Java,apache-2.0,81977,29524,12,137,135,1,3,26,2765,12
