rodada,valido,cenario,tecnologia,tempo_ms,tamanho_bytes
28,True,1_Simples,REST,356.84704780578613,1144
28,True,1_Simples,GraphQL,367.79189109802246,239
28,True,2_Complexo,REST,2732.964515686035,89457
28,True,2_Complexo,GraphQL,545.3915596008301,979
29,True,1_Simples,REST,378.0200481414795,1144
29,True,1_Simples,GraphQL,323.64749908447266,239
29,True,2_Complexo,REST,2913.1901264190674,89457
29,True,2_Complexo,GraphQL,678.4698963165283,979
30,True,1_Simples,REST,364.43352699279785,1144
30,True,1_Simples,GraphQL,325.4847526550293,239
30,True,2_Complexo,REST,2919.8362827301025,89457
30,True,2_Complexo,GraphQL,595.0243473052979,979
