rodada,valido,cenario,tecnologia,tempo_ms,tamanho_bytes,n_requests
17,True,1_Scalar,REST,338.5453224182129,1144,1
17,True,1_Scalar,GraphQL,283.1747531890869,239,1
17,True,2_Listagem,REST,1096.5375900268555,265077,1
17,True,2_Listagem,GraphQL,808.896541595459,2252,1
17,True,3_Dashboard,REST,4570.384740829468,90602,11
17,True,3_Dashboard,GraphQL,722.9115962982178,1354,1
18,True,1_Scalar,REST,334.7768783569336,1144,1
18,True,1_Scalar,GraphQL,319.00525093078613,239,1
18,True,2_Listagem,REST,1017.2011852264404,265077,1
18,True,2_Listagem,GraphQL,622.4386692047119,2252,1
18,True,3_Dashboard,REST,4402.887582778931,90602,11
18,True,3_Dashboard,GraphQL,706.2876224517822,1354,1
19,True,1_Scalar,REST,344.5765972137451,1144,1
19,True,1_Scalar,GraphQL,319.02074813842773,239,1
19,True,2_Listagem,REST,1019.5837020874023,265077,1
19,True,2_Listagem,GraphQL,722.2833633422852,2252,1
19,True,3_Dashboard,REST,4594.243049621582,90602,11
19,True,3_Dashboard,GraphQL,727.9677391052246,1354,1
20,True,1_Scalar,REST,352.66852378845215,1144,1
20,True,1_Scalar,GraphQL,514.9269104003906,239,1
20,True,2_Listagem,REST,1418.2119369506836,265077,1
20,True,2_Listagem,GraphQL,833.1420421600342,2252,1
20,True,3_Dashboard,REST,4451.4782428741455,90602,11
20,True,3_Dashboard,GraphQL,553.9114475250244,1354,1
21,True,1_Scalar,REST,358.2286834716797,1144,1
21,True,1_Scalar,GraphQL,253.1588077545166,239,1
21,True,2_Listagem,REST,1089.456558227539,265077,1
21,True,2_Listagem,GraphQL,718.1730270385742,2252,1
21,True,3_Dashboard,REST,4703.831911087036,90602,11
21,True,3_Dashboard,GraphQL,612.9372119903564,1354,1
22,True,1_Scalar,REST,265.78354835510254,1144,1
22,True,1_Scalar,GraphQL,374.0408420562744,239,1
22,True,2_Listagem,REST,1272.8779315948486,265077,1
22,True,2_Listagem,GraphQL,574.8312473297119,2252,1
22,True,3_Dashboard,REST,5022.807836532593,90602,11
22,True,3_Dashboard,GraphQL,611.9766235351562,1354,1
23,True,1_Scalar,REST,301.73611640930176,1144,1
23,True,1_Scalar,GraphQL,254.29511070251465,239,1
23,True,2_Listagem,REST,1127.3512840270996,265077,1
23,True,2_Listagem,GraphQL,720.8724021911621,2252,1
23,True,3_Dashboard,REST,4609.278678894043,90602,11
23,True,3_Dashboard,GraphQL,706.4106464385986,1354,1
24,True,1_Scalar,REST,355.81254959106445,1144,1
24,True,1_Scalar,GraphQL,491.8684959411621,239,1
24,True,2_Listagem,REST,1450.8554935455322,265077,1
24,True,2_Listagem,GraphQL,613.7378215789795,2252,1
24,True,3_Dashboard,REST,4472.095251083374,90602,11
24,True,3_Dashboard,GraphQL,648.1962203979492,1354,1
25,True,1_Scalar,REST,242.7065372467041,1144,1
25,True,1_Scalar,GraphQL,418.08247566223145,239,1
25,True,2_Listagem,REST,1224.1475582122803,265077,1
25,True,2_Listagem,GraphQL,623.1529712677002,2252,1
25,True,3_Dashboard,REST,4725.109100341797,90602,11
25,True,3_Dashboard,GraphQL,623.3880519866943,1354,1
26,True,1_Scalar,REST,318.192720413208,1144,1
26,True,1_Scalar,GraphQL,294.80767250061035,239,1
26,True,2_Listagem,REST,1124.8738765716553,265077,1
26,True,2_Listagem,GraphQL,517.0817375183105,2252,1
26,True,3_Dashboard,REST,4721.773624420166,90602,11
26,True,3_Dashboard,GraphQL,820.1665878295898,1354,1
27,True,1_Scalar,REST,547.2702980041504,1144,1
27,True,1_Scalar,GraphQL,297.8856563568115,239,1
27,True,2_Listagem,REST,1237.5285625457764,265077,1
27,True,2_Listagem,GraphQL,712.8918170928955,2252,1
27,True,3_Dashboard,REST,4919.946670532227,90602,11
27,True,3_Dashboard,GraphQL,510.256290435791,1354,1
28,True,1_Scalar,REST,344.30980682373047,1144,1
28,True,1_Scalar,GraphQL,258.9452266693115,239,1
28,True,2_Listagem,REST,1271.3017463684082,265077,1
28,True,2_Listagem,GraphQL,617.4273490905762,2252,1
28,True,3_Dashboard,REST,4516.09468460083,90602,11
28,True,3_Dashboard,GraphQL,599.3750095367432,1354,1
29,True,1_Scalar,REST,397.28426933288574,1144,1
29,True,1_Scalar,GraphQL,259.44972038269043,239,1
29,True,2_Listagem,REST,1081.038236618042,265077,1
29,True,2_Listagem,GraphQL,798.389196395874,2252,1
29,True,3_Dashboard,REST,4353.754758834839,90602,11
29,True,3_Dashboard,GraphQL,718.5633182525635,1354,1
30,True,1_Scalar,REST,350.3584861755371,1144,1
30,True,1_Scalar,GraphQL,305.0062656402588,239,1
30,True,2_Listagem,REST,1223.1903076171875,265077,1
30,True,2_Listagem,GraphQL,519.9503898620605,2252,1
30,True,3_Dashboard,REST,4293.068408966064,90602,11
30,True,3_Dashboard,GraphQL,606.1403751373291,1354,1
