id,name,full_name,private,owner_login,owner_type,html_url,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,forks_count,open_issues_count,default_branch,topics,visibility,license
5349565,presto,prestodb/presto,False,prestodb,Organization,https://github.com/prestodb/presto,The official home of the Presto distributed SQL query engine for big data,False,2012-08-09T01:03:37Z,2025-10-29T13:17:17Z,2025-10-29T04:56:33Z,http://prestodb.io,256795,16549,16549,Java,5503,2642,master,"big-data,data,hadoop,hive,java,lakehouse,presto,query,sql",public,apache-2.0
19257422,questdb,questdb/questdb,False,questdb,Organization,https://github.com/questdb/questdb,"QuestDB is a high performance, open-source, time-series database",False,2014-04-28T23:29:15Z,2025-10-29T08:19:05Z,2025-10-29T15:23:42Z,https://questdb.com,932695,16321,16321,Java,1506,792,master,"capital-markets,cpp,database,financial-analysis,grafana,java,kdb,low-latency,market-data,olap,parquet,postgresql,questdb,real-time-analytics,simd,sql,tick-data,time-series,time-series-database,tsdb",public,apache-2.0
112717963,VirtualXposed,android-hacker/VirtualXposed,False,android-hacker,Organization,https://github.com/android-hacker/VirtualXposed,"A simple app to use Xposed without root, unlock the bootloader or modify system image, etc.",False,2017-12-01T09:00:58Z,2025-10-29T11:37:50Z,2024-03-08T05:09:27Z,https://vxp.app,49794,15836,15836,Java,2521,150,vxp,"android,aop,hook,non-root,xposed",public,gpl-3.0
66179765,SpringBoot-Learning,dyc87112/SpringBoot-Learning,False,dyc87112,User,https://github.com/dyc87112/SpringBoot-Learning,《Spring Boot基础教程》，2.x版本持续连载中！点击下方链接直达教程目录！,False,2016-08-21T03:39:06Z,2025-10-29T10:30:51Z,2023-12-17T15:45:30Z,https://blog.didispace.com/spring-boot-learning-2x/,34384,15786,15786,Java,4861,68,master,"dubbo,jdbctemplate,log4j,mybatis,redis,spring-boot,spring-cloud,spring-data-jpa",public,
23112526,Android-CleanArchitecture,android10/Android-CleanArchitecture,False,android10,User,https://github.com/android10/Android-CleanArchitecture,This is a sample app that is part of a series of blog posts I have written about how to architect an android application using Uncle Bob's clean architecture approach.,False,2014-08-19T14:09:26Z,2025-10-28T14:47:47Z,2023-04-28T06:54:52Z,,5191,15576,15576,Java,3299,144,master,"android,android-application,android-architecture,android-cleanarchitecture,android-development,architectural,java",public,apache-2.0
23418517,hadoop,apache/hadoop,False,apache,Organization,https://github.com/apache/hadoop,Apache Hadoop,False,2014-08-28T07:00:08Z,2025-10-29T13:58:00Z,2025-10-27T05:46:22Z,https://hadoop.apache.org/,597785,15335,15335,Java,9142,716,trunk,hadoop,public,apache-2.0
6207167,mockito,mockito/mockito,False,mockito,Organization,https://github.com/mockito/mockito,Most popular Mocking framework for unit tests written in Java,False,2012-10-13T20:27:12Z,2025-10-28T06:32:39Z,2025-10-27T21:15:48Z,http://mockito.org,49560,15295,15295,Java,2643,476,main,"java,java-library,mock,mock-library,mocking,mocking-framework,mockito,mocks,test-automation,test-driven-development,testing,testing-tools",public,mit
6650539,neo4j,neo4j/neo4j,False,neo4j,Organization,https://github.com/neo4j/neo4j,Graphs for Everyone,False,2012-11-12T08:46:15Z,2025-10-29T10:16:08Z,2025-10-20T13:57:30Z,http://neo4j.com,676583,15285,15285,Java,2529,264,release/5.26.0,"cypher,database,graph,graph-database,graphdb,neo4j,nosql",public,gpl-3.0
25201361,bytecode-viewer,Konloch/bytecode-viewer,False,Konloch,User,https://github.com/Konloch/bytecode-viewer,"A Java 8+ Jar & Android APK Reverse Engineering Suite (Decompiler, Editor, Debugger & More)",False,2014-10-14T10:26:46Z,2025-10-29T05:01:36Z,2025-10-06T05:08:04Z,https://bytecodeviewer.com,648667,15274,15274,Java,1205,103,master,"android,apk,baksmali,bytecode,bytecode-viewer,cfr,compiler,decompiler,dex2jar,fernflower,hacktoberfest,java,java-decompiler,jsp,krakatau,procyon,recompiler,smali,static-analysis,war",public,gpl-3.0
139914932,quarkus,quarkusio/quarkus,False,quarkusio,Organization,https://github.com/quarkusio/quarkus,Quarkus: Supersonic Subatomic Java. ,False,2018-07-06T00:44:20Z,2025-10-29T15:21:08Z,2025-10-29T15:21:00Z,https://quarkus.io,439489,15141,15141,Java,2993,2690,main,"cloud-native,hacktoberfest,java,kubernetes,reactive",public,apache-2.0
