repo_full_name,language,bytes
Stirling-Tools/Stirling-PDF,Java,2877379
Stirling-Tools/Stirling-PDF,HTML,667306
Stirling-Tools/Stirling-PDF,JavaScript,509036
Stirling-Tools/Stirling-PDF,CSS,134468
Stirling-Tools/Stirling-PDF,Rich Text Format,41703
Stirling-Tools/Stirling-PDF,Shell,41305
Stirling-Tools/Stirling-PDF,Python,37465
Stirling-Tools/Stirling-PDF,Gherkin,20804
Stirling-Tools/Stirling-PDF,Dockerfile,4390
Stirling-Tools/Stirling-PDF,Batchfile,1728
