repo_full_name,id,tag_name,name,draft,prerelease,created_at,published_at
airbnb/lottie-android,257667137,v6.7.0,6.7.0,False,False,2025-10-27T22:43:02Z,2025-10-27T22:45:38Z
airbnb/lottie-android,251868490,v6.6.10,6.6.10,False,False,2025-10-02T22:16:58Z,2025-10-02T22:22:06Z
airbnb/lottie-android,247794231,v6.6.9,6.6.9,False,False,2025-09-16T22:02:21Z,2025-09-16T22:08:52Z
airbnb/lottie-android,225710035,v6.6.7,6.6.7,False,False,2025-06-13T23:01:51Z,2025-06-17T00:22:33Z
airbnb/lottie-android,211425398,v6.6.6,6.6.6,False,False,2025-04-10T02:52:47Z,2025-04-10T02:57:35Z
airbnb/lottie-android,207028910,v6.6.4,6.6.4,False,False,2025-03-20T00:43:55Z,2025-03-20T00:47:30Z
airbnb/lottie-android,203470865,v6.6.3,6.6.3,False,False,2025-03-04T01:39:31Z,2025-03-04T01:40:36Z
airbnb/lottie-android,191018147,v6.6.2,6.6.2,False,False,2024-12-16T01:47:03Z,2024-12-16T18:53:49Z
airbnb/lottie-android,189019883,v6.6.1,6.6.1,False,False,2024-12-04T18:31:45Z,2024-12-04T18:33:19Z
airbnb/lottie-android,182143104,v6.6.0,6.6.0,False,False,2024-10-27T21:21:26Z,2024-10-27T21:24:42Z
airbnb/lottie-android,174183916,v6.5.2,6.5.2,False,False,2024-09-04T00:11:19Z,2024-09-09T17:58:58Z
airbnb/lottie-android,174183793,v6.5.1,6.5.1,False,False,2024-08-28T17:37:48Z,2024-09-09T17:58:23Z
airbnb/lottie-android,168587016,v6.5.0,6.5.0,False,False,2024-08-04T03:57:01Z,2024-08-04T04:06:56Z
airbnb/lottie-android,144573972,v6.4.0,6.4.0,False,False,2024-03-04T03:33:55Z,2024-03-04T03:38:19Z
airbnb/lottie-android,135393573,v6.3.0,6.3.0,False,False,2023-12-30T01:44:46Z,2023-12-30T01:54:59Z
airbnb/lottie-android,130202349,v6.2.0,6.2.0,False,False,2023-11-19T01:20:35Z,2023-11-19T01:32:09Z
airbnb/lottie-android,112419429,v6.1.0,6.1.0,False,False,2023-07-16T19:15:41Z,2023-07-16T19:20:13Z
airbnb/lottie-android,109239980,v6.0.1,6.0.1,False,False,2023-06-09T21:21:24Z,2023-06-20T14:48:35Z
airbnb/lottie-android,92392525,v6.0.0,6.0.0,False,False,2023-02-14T06:59:07Z,2023-02-14T16:46:06Z
airbnb/lottie-android,68192732,v5.2.0,5.2.0,False,False,2022-05-31T00:33:21Z,2022-05-31T00:35:06Z
airbnb/lottie-android,65158148,v5.1.1,5.1.1,False,False,2022-04-24T02:11:29Z,2022-04-24T02:12:56Z
airbnb/lottie-android,61188946,v5.0.3,5.0.3,False,False,2022-03-07T19:06:53Z,2022-03-07T19:07:50Z
airbnb/lottie-android,60626549,v5.0.2,5.0.2,False,False,2022-02-28T17:17:07Z,2022-02-28T17:17:53Z
airbnb/lottie-android,60091613,v5.0.1,5.0.1,False,False,2022-02-21T19:07:45Z,2022-02-22T01:12:17Z
airbnb/lottie-android,53242889,v4.2.1,4.2.1,False,False,2021-11-12T13:25:07Z,2021-11-12T13:26:32Z
airbnb/lottie-android,53242867,v4.2.0,4.2.0,False,False,2021-10-03T00:08:43Z,2021-11-12T13:26:17Z
airbnb/lottie-android,48004265,v4.1.0,4.1.0,False,False,2021-08-17T20:42:22Z,2021-08-17T20:50:57Z
airbnb/lottie-android,46939883,v4.0.0,4.0.0,False,False,2021-07-28T23:21:47Z,2021-07-28T23:23:45Z
airbnb/lottie-android,46380661,v3.7.2,3.7.2,False,False,2021-07-18T00:21:52Z,2021-07-18T20:42:11Z
airbnb/lottie-android,46380669,compose-1.0.0-rc02-1,Compose 1.0.0-rc02-1,False,False,2021-07-18T00:21:52Z,2021-07-18T20:42:42Z
airbnb/lottie-android,45879873,v3.7.1,3.7.1,False,False,2021-07-08T04:41:17Z,2021-07-08T04:48:34Z
airbnb/lottie-android,45879862,compose-1.0.0-rc01-1,Compose 1.0.0-rc01-1,False,False,2021-07-08T04:41:17Z,2021-07-08T04:48:05Z
airbnb/lottie-android,43266329,compose-1.0.0-beta07-1,Compose Beta 07 1,False,False,2021-05-20T07:00:00Z,2021-05-20T07:01:16Z
airbnb/lottie-android,33626581,v3.5.0,3.5.0,False,False,2020-11-09T03:21:18Z,2020-11-09T03:22:24Z
airbnb/lottie-android,33626600,compose-v1.0.0-alpha01,Compose 1.0.0 Alpha 1,False,False,2020-11-09T03:21:18Z,2020-11-09T03:23:23Z
airbnb/lottie-android,32076856,v3.4.4,3.4.4,False,False,2020-10-03T22:12:45Z,2020-10-02T04:24:16Z
airbnb/lottie-android,30351827,v3.4.2,3.4.2,False,False,2020-08-28T21:54:16Z,2020-08-28T22:31:32Z
airbnb/lottie-android,30351815,v3.4.1,3.4.1,False,False,2020-06-05T16:38:29Z,2020-08-28T22:31:02Z
airbnb/lottie-android,23902682,v3.4.0,3.4.0,False,False,2020-02-22T18:52:20Z,2020-02-22T18:57:27Z
airbnb/lottie-android,21905717,v3.3.0,3.3.0,False,False,2019-12-01T23:08:52Z,2019-12-02T18:05:05Z
airbnb/lottie-android,21449577,v3.2.0,3.2.0,False,False,2019-11-13T17:57:41Z,2019-11-13T17:58:44Z
airbnb/lottie-android,20713571,v3.1.0,3.1.0,False,False,2019-10-13T18:39:24Z,2019-10-15T14:28:15Z
airbnb/lottie-android,16990370,v3.0.1,3.0.1,False,False,2019-04-26T00:30:44Z,2019-04-26T00:32:07Z
airbnb/lottie-android,16990362,v3.0.0,3.0.0,False,False,2019-03-22T00:29:25Z,2019-04-26T00:31:44Z
airbnb/lottie-android,13050873,v2.7.0,,False,False,2018-09-24T06:50:44Z,2018-09-24T07:11:06Z
airbnb/lottie-android,12768176,v2.6.1,,False,False,2018-09-06T16:33:16Z,2018-09-06T16:54:50Z
airbnb/lottie-android,12710661,v2.6.0,,False,False,2018-09-04T01:44:58Z,2018-09-04T02:04:49Z
airbnb/lottie-android,12634484,v2.6.0-beta21,,False,False,2018-08-29T14:31:06Z,2018-08-29T14:39:54Z
airbnb/lottie-android,12388086,v2.6.0-rc3,,False,False,2018-08-14T00:59:20Z,2018-08-14T01:32:58Z
airbnb/lottie-android,12390027,v2.6.0-beta20,,False,False,2018-08-14T06:12:20Z,2018-08-14T06:21:11Z
airbnb/lottie-android,12389433,v2.6.0-beta16,,False,False,2018-08-14T04:32:14Z,2018-08-14T04:50:41Z
airbnb/lottie-android,12369517,v2.6.0-rc2,,False,False,2018-08-13T00:00:03Z,2018-08-13T02:50:11Z
airbnb/lottie-android,12313299,v2.6.0-signed3,,False,False,2018-08-08T15:48:12Z,2018-08-08T16:23:54Z
airbnb/lottie-android,12260438,v2.6.0-beta15,,False,False,2018-08-05T17:52:51Z,2018-08-05T18:13:35Z
airbnb/lottie-android,12256274,v2.6.0-test2,,False,False,2018-08-04T20:10:15Z,2018-08-04T20:16:16Z
airbnb/lottie-android,12256222,v2.6.0-test1,,False,False,2018-08-04T19:57:30Z,2018-08-04T20:03:49Z
airbnb/lottie-android,12256472,v2.6.0-beta3,,False,False,2018-08-04T21:09:41Z,2018-08-04T21:16:15Z
airbnb/lottie-android,12256437,v2.6.0-beta2,,False,False,2018-08-04T21:01:35Z,2018-08-04T21:08:14Z
airbnb/lottie-android,12256394,v2.6.0-beta1,,False,False,2018-08-04T20:47:31Z,2018-08-04T20:54:15Z
airbnb/lottie-android,5436643,v1.0.3,Lottie 1.0.3,False,False,2017-02-13T08:18:53Z,2017-02-13T08:22:18Z
