rank,name,stars,forks,language,description,url,clone_url,created_at,updated_at
32,xkcoding/spring-boot-demo,33912,10990,Java,🚀一个用来深入学习并实战 Spring Boot 的项目。,https://github.com/xkcoding/spring-boot-demo,,,
33,Blankj/AndroidUtilCode,33644,10707,Java,:fire: Android developers should collect the following utils(updating).,https://github.com/Blankj/AndroidUtilCode,,,
34,alibaba/easyexcel,33626,7642,Java,快速、简洁、解决大文件内存溢出的java处理Excel工具,https://github.com/alibaba/easyexcel,,,
35,zxing/zxing,33592,9420,Java,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android",https://github.com/zxing/zxing,,,
36,YunaiV/ruoyi-vue-pro,33258,7163,Java,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,https://github.com/YunaiV/ruoyi-vue-pro,,,
37,SeleniumHQ/selenium,33229,8588,Java,A browser automation framework and ecosystem.,https://github.com/SeleniumHQ/selenium,,,
38,alibaba/nacos,32053,13144,Java,"an easy-to-use dynamic service discovery, configuration and service management platform for building AI cloud native applications.",https://github.com/alibaba/nacos,,,
39,binarywang/WxJava,31923,8981,Java,微信开发 Java SDK ，支持包括微信支付，开放平台，小程序，企业微信，视频号，公众号等的后端开发,https://github.com/binarywang/WxJava,,,
40,apache/kafka,30921,14636,Java,Mirror of Apache Kafka,https://github.com/apache/kafka,,,
41,ityouknow/spring-boot-examples,30607,12342,Java,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 ,https://github.com/ityouknow/spring-boot-examples,,,
42,chinabugotech/hutool,30075,7662,Java,🍬A set of tools that keep Java sweet.,https://github.com/chinabugotech/hutool,,,
43,apolloconfig/apollo,29656,10229,Java,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,https://github.com/apolloconfig/apollo,,,
44,keycloak/keycloak,29625,7618,Java,Open Source Identity and Access Management For Modern Applications and Services,https://github.com/keycloak/keycloak,,,
45,alibaba/canal,29372,7676,Java,阿里巴巴 MySQL binlog 增量订阅&消费组件 ,https://github.com/alibaba/canal,,,
46,xuxueli/xxl-job,29320,11311,Java,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,https://github.com/xuxueli/xxl-job,,,
47,conductor-oss/conductor,29181,717,Java,Conductor is an event driven orchestration platform providing durable and highly resilient execution engine for your applications,https://github.com/conductor-oss/conductor,,,
48,wuyouzhuguli/SpringAll,28961,8173,Java,循序渐进，学习Spring Boot、Spring Boot & Shiro、Spring Batch、Spring Cloud、Spring Cloud Alibaba、Spring Security & Spring Security OAuth2，博客Spring系列源码：https://mrbird.cc,https://github.com/wuyouzhuguli/SpringAll,,,
49,alibaba/spring-cloud-alibaba,28762,8473,Java,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,https://github.com/alibaba/spring-cloud-alibaba,,,
50,alibaba/druid,28194,8601,Java,阿里云计算平台DataWorks(https://help.aliyun.com/document_detail/137663.html) 团队出品，为监控而生的数据库连接池,https://github.com/alibaba/druid,,,
51,lenve/vhr,27947,10309,Java,微人事是一个前后端分离的人力资源管理系统，项目采用SpringBoot+Vue开发。,https://github.com/lenve/vhr,,,
52,DrKLO/Telegram,27541,8944,Java,Telegram for Android source,https://github.com/DrKLO/Telegram,,,
53,crossoverJie/JCSprout,27068,7044,Java,"👨‍🎓 Java Core Sprout : basic, concurrent, algorithm ",https://github.com/crossoverJie/JCSprout,,,
54,qiurunze123/miaosha,26511,6631,Java,⭐⭐⭐⭐秒杀系统设计与实现.互联网工程师进阶与分析🙋🐓,https://github.com/qiurunze123/miaosha,,,
55,ashishps1/awesome-system-design-resources,26033,6170,Java,Learn System Design concepts and prepare for interviews using free resources.,https://github.com/ashishps1/awesome-system-design-resources,,,
56,apache/incubator-seata,25805,8870,Java,":fire: Seata is an easy-to-use, high-performance, open source distributed transaction solution.",https://github.com/apache/incubator-seata,,,
57,alibaba/fastjson,25750,6476,Java,"FASTJSON 2.0.x has been released, faster and more secure, recommend you upgrade.",https://github.com/alibaba/fastjson,,,
58,JakeWharton/butterknife,25482,4583,Java,Bind Android views and callbacks to fields and methods.,https://github.com/JakeWharton/butterknife,,,
59,hollischuang/toBeTopJavaer,25469,5436,Java,To Be Top Javaer - Java工程师成神之路,https://github.com/hollischuang/toBeTopJavaer,,,
60,apache/flink,25274,13782,Java,Apache Flink,https://github.com/apache/flink,,,
61,scwang90/SmartRefreshLayout,25154,4975,Java,🔥下拉刷新、上拉加载、二级刷新、淘宝二楼、RefreshLayout、OverScroll，Android智能下拉刷新框架，支持越界回弹、越界拖动，具有极强的扩展性，集成了几十种炫酷的Header和 Footer。,https://github.com/scwang90/SmartRefreshLayout,,,
62,proxyee-down-org/proxyee-down,24869,4404,Java,http下载工具，基于http代理，支持多连接分块下载,https://github.com/proxyee-down-org/proxyee-down,,,
63,OpenAPITools/openapi-generator,24849,7172,Java,"OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3)",https://github.com/OpenAPITools/openapi-generator,,,
