rank,name,stars,forks,language,description,url,clone_url,created_at,updated_at
248,baidu/core-guava,939,114,Java,A popular Java library for mongodb,https://github.com/baidu/core-guava,https://github.com/baidu/core-guava.git,2014-12-23T22:56:09.316907Z,2025-08-01T22:56:09.316910Z
249,linkedin/boot,934,169,Java,A popular Java base for commons,https://github.com/linkedin/boot,https://github.com/linkedin/boot.git,2011-02-09T22:56:09.322103Z,2024-12-18T22:56:09.322106Z
250,atlassian/flink-2,933,337,Java,A popular Java common for data,https://github.com/atlassian/flink-2,https://github.com/atlassian/flink-2.git,2016-01-22T22:56:09.334368Z,2024-10-29T22:56:09.334371Z
251,redhat/microservice,931,332,Java,A popular Java tool for api,https://github.com/redhat/microservice,https://github.com/redhat/microservice.git,2016-04-06T22:56:09.344387Z,2025-05-04T22:56:09.344388Z
252,netflix/zookeeper,929,178,Java,A popular Java service for spring,https://github.com/netflix/zookeeper,https://github.com/netflix/zookeeper.git,2020-02-21T22:56:09.351828Z,2025-09-15T22:56:09.351831Z
253,square/boot,928,172,Java,A popular Java common for rest,https://github.com/square/boot,https://github.com/square/boot.git,2016-03-11T22:56:09.353724Z,2024-09-21T22:56:09.353726Z
254,netflix/mongodb-next,925,145,Java,A popular Java utils for cloud,https://github.com/netflix/mongodb-next,https://github.com/netflix/mongodb-next.git,2017-05-30T22:56:09.338440Z,2025-01-31T22:56:09.338442Z
255,amazon/service-hadoop,917,282,Java,A popular Java core for cloud,https://github.com/amazon/service-hadoop,https://github.com/amazon/service-hadoop.git,2023-02-19T22:56:09.357889Z,2025-03-25T22:56:09.357894Z
256,ibm/data,914,262,Java,A popular Java api for rxjava,https://github.com/ibm/data,https://github.com/ibm/data.git,2014-08-14T22:56:09.344080Z,2025-05-16T22:56:09.344081Z
257,twitter/framework-cloud-client,910,102,Java,A popular Java extension for boot,https://github.com/twitter/framework-cloud-client,https://github.com/twitter/framework-cloud-client.git,2011-07-15T22:56:09.336437Z,2025-07-13T22:56:09.336440Z
258,linkedin/mongodb,908,339,Java,A popular Java utils for spring,https://github.com/linkedin/mongodb,https://github.com/linkedin/mongodb.git,2011-06-27T22:56:09.337565Z,2025-04-07T22:56:09.337568Z
259,jetbrains/okhttp,899,71,Java,A popular Java base for mongodb,https://github.com/jetbrains/okhttp,https://github.com/jetbrains/okhttp.git,2014-10-19T22:56:09.331596Z,2025-05-24T22:56:09.331599Z
260,netflix/spring-java,888,328,Java,A popular Java shared for microservice,https://github.com/netflix/spring-java,https://github.com/netflix/spring-java.git,2016-04-17T22:56:09.360288Z,2025-08-01T22:56:09.360290Z
261,oracle/kafka-client,879,337,Java,A popular Java core for okhttp,https://github.com/oracle/kafka-client,https://github.com/oracle/kafka-client.git,2016-03-02T22:56:09.315526Z,2025-01-17T22:56:09.315529Z
262,airbnb/service-gson-2,876,209,Java,A popular Java client for commons,https://github.com/airbnb/service-gson-2,https://github.com/airbnb/service-gson-2.git,2019-03-04T22:56:09.336494Z,2025-07-18T22:56:09.336497Z
263,square/hbase,875,263,Java,A popular Java server for commons,https://github.com/square/hbase,https://github.com/square/hbase.git,2023-02-17T22:56:09.315005Z,2024-12-27T22:56:09.315009Z
264,square/commons,874,230,Java,A popular Java framework for boot,https://github.com/square/commons,https://github.com/square/commons.git,2011-04-13T22:56:09.318579Z,2025-04-28T22:56:09.318583Z
265,ibm/jackson,868,297,Java,A popular Java utils for httpclient,https://github.com/ibm/jackson,https://github.com/ibm/jackson.git,2020-10-19T22:56:09.323049Z,2025-09-13T22:56:09.323053Z
266,linkedin/retrofit,867,237,Java,A popular Java base for storm,https://github.com/linkedin/retrofit,https://github.com/linkedin/retrofit.git,2020-10-20T22:56:09.356448Z,2025-02-01T22:56:09.356452Z
267,gitlab/commons-2,867,117,Java,A popular Java utils for storm,https://github.com/gitlab/commons-2,https://github.com/gitlab/commons-2.git,2024-08-06T22:56:09.341594Z,2025-08-05T22:56:09.341597Z
268,google/rxjava,866,177,Java,A popular Java base for hbase,https://github.com/google/rxjava,https://github.com/google/rxjava.git,2012-05-25T22:56:09.347558Z,2025-07-08T22:56:09.347565Z
269,alibaba/hbase-2,858,303,Java,A popular Java library for gson,https://github.com/alibaba/hbase-2,https://github.com/alibaba/hbase-2.git,2011-08-13T22:56:09.350431Z,2025-03-14T22:56:09.350435Z
270,maven/data,839,156,Java,A popular Java common for cassandra,https://github.com/maven/data,https://github.com/maven/data.git,2019-12-20T22:56:09.353068Z,2025-04-06T22:56:09.353071Z
271,amazon/kafka,833,296,Java,A popular Java framework for rxjava,https://github.com/amazon/kafka,https://github.com/amazon/kafka.git,2023-12-08T22:56:09.335831Z,2025-02-23T22:56:09.335834Z
272,netflix/okhttp,832,144,Java,A popular Java api for reactor,https://github.com/netflix/okhttp,https://github.com/netflix/okhttp.git,2018-08-19T22:56:09.350271Z,2024-10-27T22:56:09.350273Z
273,jetbrains/netty,830,97,Java,A popular Java common for data,https://github.com/jetbrains/netty,https://github.com/jetbrains/netty.git,2023-07-16T22:56:09.350653Z,2024-10-28T22:56:09.350656Z
274,oracle/lucene,830,109,Java,A popular Java tool for web,https://github.com/oracle/lucene,https://github.com/oracle/lucene.git,2017-05-21T22:56:09.325684Z,2024-12-26T22:56:09.325688Z
275,microsoft/microservice-java,829,103,Java,A popular Java tool for hadoop,https://github.com/microsoft/microservice-java,https://github.com/microsoft/microservice-java.git,2013-06-19T22:56:09.358477Z,2024-11-07T22:56:09.358481Z
276,sonar/tomcat,826,128,Java,A popular Java library for lucene,https://github.com/sonar/tomcat,https://github.com/sonar/tomcat.git,2011-09-08T22:56:09.323220Z,2025-07-18T22:56:09.323224Z
277,netflix/api-hadoop,825,181,Java,A popular Java plugin for cloud,https://github.com/netflix/api-hadoop,https://github.com/netflix/api-hadoop.git,2014-10-26T22:56:09.344977Z,2024-10-15T22:56:09.344978Z
278,twitter/security,823,147,Java,A popular Java service for cassandra,https://github.com/twitter/security,https://github.com/twitter/security.git,2013-01-11T22:56:09.356832Z,2025-01-24T22:56:09.356836Z
279,eclipse/service-kafka,822,164,Java,A popular Java server for rest,https://github.com/eclipse/service-kafka,https://github.com/eclipse/service-kafka.git,2011-03-02T22:56:09.351326Z,2024-12-16T22:56:09.351329Z
280,github/data,809,118,Java,A popular Java tool for storm,https://github.com/github/data,https://github.com/github/data.git,2017-03-17T22:56:09.317700Z,2025-09-08T22:56:09.317703Z
281,jetbrains/spark-server,801,92,Java,A popular Java shared for api,https://github.com/jetbrains/spark-server,https://github.com/jetbrains/spark-server.git,2024-07-23T22:56:09.321671Z,2025-02-06T22:56:09.321674Z
282,airbnb/cloud-core,800,103,Java,A popular Java base for hadoop,https://github.com/airbnb/cloud-core,https://github.com/airbnb/cloud-core.git,2012-12-10T22:56:09.317187Z,2025-04-29T22:56:09.317190Z
283,microsoft/base-data,799,186,Java,A popular Java extension for spark,https://github.com/microsoft/base-data,https://github.com/microsoft/base-data.git,2012-04-05T22:56:09.320152Z,2025-08-23T22:56:09.320155Z
284,apache/rest,795,228,Java,A popular Java common for web,https://github.com/apache/rest,https://github.com/apache/rest.git,2018-11-23T22:56:09.350374Z,2025-04-06T22:56:09.350377Z
285,gradle/lucene,788,173,Java,A popular Java service for api,https://github.com/gradle/lucene,https://github.com/gradle/lucene.git,2013-02-15T22:56:09.331534Z,2025-08-23T22:56:09.331538Z
286,github/extension-flink,786,47,Java,A popular Java library for jetty,https://github.com/github/extension-flink,https://github.com/github/extension-flink.git,2012-11-27T22:56:09.357773Z,2024-10-27T22:56:09.357778Z
287,square/zookeeper,779,143,Java,A popular Java extension for reactor,https://github.com/square/zookeeper,https://github.com/square/zookeeper.git,2020-04-19T22:56:09.347641Z,2024-10-30T22:56:09.347646Z
288,google/reactor,779,59,Java,A popular Java tool for security,https://github.com/google/reactor,https://github.com/google/reactor.git,2010-11-28T22:56:09.339598Z,2025-02-05T22:56:09.339601Z
289,tencent/hadoop,773,78,Java,A popular Java common for retrofit,https://github.com/tencent/hadoop,https://github.com/tencent/hadoop.git,2023-07-06T22:56:09.357661Z,2024-12-23T22:56:09.357665Z
290,github/okhttp-client,771,103,Java,A popular Java client for web,https://github.com/github/okhttp-client,https://github.com/github/okhttp-client.git,2013-05-17T22:56:09.311959Z,2025-04-30T22:56:09.311962Z
291,netflix/jackson,770,160,Java,A popular Java common for spark,https://github.com/netflix/jackson,https://github.com/netflix/jackson.git,2010-11-06T22:56:09.312972Z,2025-01-26T22:56:09.312976Z
292,baidu/jackson-v2,758,125,Java,A popular Java utils for akka,https://github.com/baidu/jackson-v2,https://github.com/baidu/jackson-v2.git,2021-06-16T22:56:09.341436Z,2025-07-25T22:56:09.341439Z
293,sonar/framework-cloud,754,248,Java,A popular Java shared for data,https://github.com/sonar/framework-cloud,https://github.com/sonar/framework-cloud.git,2014-02-24T22:56:09.311507Z,2025-03-31T22:56:09.311511Z
294,maven/library-okhttp,753,103,Java,A popular Java service for reactor,https://github.com/maven/library-okhttp,https://github.com/maven/library-okhttp.git,2022-06-30T22:56:09.352114Z,2024-11-15T22:56:09.352117Z
295,redhat/utils-cassandra,750,278,Java,A popular Java server for mongodb,https://github.com/redhat/utils-cassandra,https://github.com/redhat/utils-cassandra.git,2013-01-21T22:56:09.338034Z,2025-09-14T22:56:09.338037Z
296,jetbrains/okhttp,748,293,Java,A popular Java common for rest,https://github.com/jetbrains/okhttp,https://github.com/jetbrains/okhttp.git,2011-10-14T22:56:09.349494Z,2025-06-09T22:56:09.349497Z
297,uber/rest,746,101,Java,A popular Java common for akka,https://github.com/uber/rest,https://github.com/uber/rest.git,2012-04-12T22:56:09.354788Z,2025-06-11T22:56:09.354791Z
298,amazon/redis-spring,741,99,Java,A popular Java core for akka,https://github.com/amazon/redis-spring,https://github.com/amazon/redis-spring.git,2013-01-06T22:56:09.325223Z,2025-08-10T22:56:09.325228Z
299,gitlab/kafka,740,51,Java,A popular Java core for jetty,https://github.com/gitlab/kafka,https://github.com/gitlab/kafka.git,2013-12-31T22:56:09.345124Z,2025-04-07T22:56:09.345125Z
300,spotify/boot,739,266,Java,A popular Java tool for tomcat,https://github.com/spotify/boot,https://github.com/spotify/boot.git,2023-09-30T22:56:09.345023Z,2025-01-13T22:56:09.345025Z
301,alibaba/library-retrofit,734,129,Java,A popular Java framework for data,https://github.com/alibaba/library-retrofit,https://github.com/alibaba/library-retrofit.git,2021-12-29T22:56:09.320037Z,2024-11-07T22:56:09.320040Z
302,amazon/jetty-spring,727,130,Java,A popular Java server for security,https://github.com/amazon/jetty-spring,https://github.com/amazon/jetty-spring.git,2018-01-07T22:56:09.345578Z,2024-09-26T22:56:09.345580Z
303,airbnb/jackson,721,47,Java,A popular Java core for spring,https://github.com/airbnb/jackson,https://github.com/airbnb/jackson.git,2012-06-19T22:56:09.354178Z,2025-02-17T22:56:09.354181Z
304,google/shared-cloud-core,714,45,Java,A popular Java api for zookeeper,https://github.com/google/shared-cloud-core,https://github.com/google/shared-cloud-core.git,2019-11-05T22:56:09.342726Z,2025-08-08T22:56:09.342729Z
305,alibaba/elasticsearch,714,123,Java,A popular Java extension for tomcat,https://github.com/alibaba/elasticsearch,https://github.com/alibaba/elasticsearch.git,2018-01-10T22:56:09.326012Z,2025-06-05T22:56:09.326019Z
306,dropbox/jetty-server,714,199,Java,A popular Java library for tomcat,https://github.com/dropbox/jetty-server,https://github.com/dropbox/jetty-server.git,2013-03-31T22:56:09.329547Z,2025-06-06T22:56:09.329550Z
307,atlassian/server-web,714,253,Java,A popular Java service for httpclient,https://github.com/atlassian/server-web,https://github.com/atlassian/server-web.git,2019-05-16T22:56:09.327627Z,2025-02-27T22:56:09.327631Z
308,eclipse/akka,712,218,Java,A popular Java utils for boot,https://github.com/eclipse/akka,https://github.com/eclipse/akka.git,2012-11-25T22:56:09.327169Z,2025-06-30T22:56:09.327170Z
309,ibm/retrofit,710,172,Java,A popular Java shared for jetty,https://github.com/ibm/retrofit,https://github.com/ibm/retrofit.git,2011-12-23T22:56:09.330742Z,2025-02-24T22:56:09.330743Z
310,maven/cloud,709,211,Java,A popular Java framework for api,https://github.com/maven/cloud,https://github.com/maven/cloud.git,2021-10-04T22:56:09.335607Z,2025-09-09T22:56:09.335610Z
311,microsoft/reactor,709,250,Java,A popular Java utils for rest,https://github.com/microsoft/reactor,https://github.com/microsoft/reactor.git,2013-03-14T22:56:09.346326Z,2025-04-30T22:56:09.346328Z
312,spring/gson,704,179,Java,A popular Java library for flink,https://github.com/spring/gson,https://github.com/spring/gson.git,2023-03-23T22:56:09.360106Z,2025-02-11T22:56:09.360108Z
313,linkedin/akka,701,58,Java,A popular Java api for mongodb,https://github.com/linkedin/akka,https://github.com/linkedin/akka.git,2011-11-12T22:56:09.316361Z,2025-01-22T22:56:09.316364Z
314,oracle/service-jetty,701,224,Java,A popular Java client for retrofit,https://github.com/oracle/service-jetty,https://github.com/oracle/service-jetty.git,2010-12-28T22:56:09.339875Z,2025-04-15T22:56:09.339880Z
315,oracle/library-hadoop,700,127,Java,A popular Java library for elasticsearch,https://github.com/oracle/library-hadoop,https://github.com/oracle/library-hadoop.git,2018-11-29T22:56:09.318297Z,2025-05-13T22:56:09.318300Z
316,baidu/jetty-client,698,243,Java,A popular Java tool for gson,https://github.com/baidu/jetty-client,https://github.com/baidu/jetty-client.git,2011-02-18T22:56:09.359947Z,2025-03-25T22:56:09.359949Z
317,amazon/jackson,690,126,Java,A popular Java tool for elasticsearch,https://github.com/amazon/jackson,https://github.com/amazon/jackson.git,2018-12-05T22:56:09.349220Z,2025-07-11T22:56:09.349223Z
318,spotify/service-cassandra-2,687,212,Java,A popular Java utils for jetty,https://github.com/spotify/service-cassandra-2,https://github.com/spotify/service-cassandra-2.git,2012-07-05T22:56:09.344434Z,2025-07-14T22:56:09.344436Z
319,ibm/lucene-server,682,102,Java,A popular Java client for zookeeper,https://github.com/ibm/lucene-server,https://github.com/ibm/lucene-server.git,2019-07-19T22:56:09.358347Z,2025-01-23T22:56:09.358351Z
320,tencent/netty,678,159,Java,A popular Java core for akka,https://github.com/tencent/netty,https://github.com/tencent/netty.git,2010-12-27T22:56:09.312773Z,2025-08-17T22:56:09.312777Z
321,amazon/httpclient,668,45,Java,A popular Java api for akka,https://github.com/amazon/httpclient,https://github.com/amazon/httpclient.git,2020-08-01T22:56:09.345825Z,2025-02-13T22:56:09.345826Z
322,atlassian/microservice,667,102,Java,A popular Java extension for cassandra,https://github.com/atlassian/microservice,https://github.com/atlassian/microservice.git,2018-03-25T22:56:09.357197Z,2024-10-04T22:56:09.357201Z
323,spring/flink,665,115,Java,A popular Java base for akka,https://github.com/spring/flink,https://github.com/spring/flink.git,2022-11-04T22:56:09.324537Z,2025-05-23T22:56:09.324540Z
324,dropbox/rest,663,218,Java,A popular Java shared for okhttp,https://github.com/dropbox/rest,https://github.com/dropbox/rest.git,2022-01-21T22:56:09.360138Z,2025-02-23T22:56:09.360139Z
325,tencent/okhttp,662,70,Java,A popular Java utils for redis,https://github.com/tencent/okhttp,https://github.com/tencent/okhttp.git,2021-09-26T22:56:09.327143Z,2025-06-16T22:56:09.327145Z
326,tencent/mongodb,661,252,Java,A popular Java core for cloud,https://github.com/tencent/mongodb,https://github.com/tencent/mongodb.git,2011-10-29T22:56:09.345460Z,2024-10-18T22:56:09.345461Z
327,netflix/storm,658,249,Java,A popular Java client for okhttp,https://github.com/netflix/storm,https://github.com/netflix/storm.git,2023-01-24T22:56:09.360312Z,2025-05-06T22:56:09.360313Z
328,linkedin/guava,652,206,Java,A popular Java extension for microservice,https://github.com/linkedin/guava,https://github.com/linkedin/guava.git,2018-02-02T22:56:09.327550Z,2024-12-28T22:56:09.327551Z
329,alibaba/microservice-2,652,87,Java,A popular Java library for redis,https://github.com/alibaba/microservice-2,https://github.com/alibaba/microservice-2.git,2012-02-13T22:56:09.346636Z,2025-02-18T22:56:09.346639Z
330,uber/netty,652,210,Java,A popular Java service for redis,https://github.com/uber/netty,https://github.com/uber/netty.git,2014-12-25T22:56:09.314628Z,2024-10-08T22:56:09.314631Z
331,atlassian/hbase,650,45,Java,A popular Java api for spark,https://github.com/atlassian/hbase,https://github.com/atlassian/hbase.git,2013-05-27T22:56:09.352802Z,2025-03-28T22:56:09.352805Z
332,apache/extension-akka-v2,648,168,Java,A popular Java server for spark,https://github.com/apache/extension-akka-v2,https://github.com/apache/extension-akka-v2.git,2014-04-15T22:56:09.328120Z,2024-10-29T22:56:09.328123Z
333,microsoft/rest,646,126,Java,A popular Java framework for spring,https://github.com/microsoft/rest,https://github.com/microsoft/rest.git,2021-07-18T22:56:09.360162Z,2025-03-11T22:56:09.360163Z
334,dropbox/boot-v2,641,184,Java,A popular Java utils for cloud,https://github.com/dropbox/boot-v2,https://github.com/dropbox/boot-v2.git,2013-07-17T22:56:09.327313Z,2024-10-10T22:56:09.327315Z
335,baidu/gson,641,78,Java,A popular Java extension for elasticsearch,https://github.com/baidu/gson,https://github.com/baidu/gson.git,2014-01-27T22:56:09.340963Z,2024-12-17T22:56:09.340966Z
336,tencent/rxjava,632,106,Java,A popular Java library for api,https://github.com/tencent/rxjava,https://github.com/tencent/rxjava.git,2021-04-20T22:56:09.321888Z,2025-03-25T22:56:09.321891Z
337,maven/mongodb,631,162,Java,A popular Java library for hbase,https://github.com/maven/mongodb,https://github.com/maven/mongodb.git,2023-04-18T22:56:09.343771Z,2025-05-01T22:56:09.343773Z
338,microsoft/reactor-v2,630,208,Java,A popular Java library for reactor,https://github.com/microsoft/reactor-v2,https://github.com/microsoft/reactor-v2.git,2012-09-13T22:56:09.312161Z,2025-04-19T22:56:09.312165Z
339,atlassian/server-kafka,630,243,Java,A popular Java service for elasticsearch,https://github.com/atlassian/server-kafka,https://github.com/atlassian/server-kafka.git,2016-03-27T22:56:09.342224Z,2024-12-03T22:56:09.342227Z
340,netflix/boot-next,629,93,Java,A popular Java plugin for mongodb,https://github.com/netflix/boot-next,https://github.com/netflix/boot-next.git,2016-11-26T22:56:09.338188Z,2025-01-21T22:56:09.338191Z
341,airbnb/hbase,627,206,Java,A popular Java plugin for httpclient,https://github.com/airbnb/hbase,https://github.com/airbnb/hbase.git,2019-05-28T22:56:09.310965Z,2025-09-04T22:56:09.310969Z
342,facebook/spark-next,624,176,Java,A popular Java api for jackson,https://github.com/facebook/spark-next,https://github.com/facebook/spark-next.git,2020-12-30T22:56:09.311139Z,2025-01-02T22:56:09.311143Z
343,tencent/hadoop,623,171,Java,A popular Java api for tomcat,https://github.com/tencent/hadoop,https://github.com/tencent/hadoop.git,2021-02-15T22:56:09.341813Z,2024-10-10T22:56:09.341816Z
344,netflix/utils-cloud-server,617,145,Java,A popular Java base for security,https://github.com/netflix/utils-cloud-server,https://github.com/netflix/utils-cloud-server.git,2021-06-04T22:56:09.345802Z,2025-06-01T22:56:09.345803Z
345,netflix/spring,613,86,Java,A popular Java client for netty,https://github.com/netflix/spring,https://github.com/netflix/spring.git,2011-06-12T22:56:09.336828Z,2025-02-11T22:56:09.336830Z
346,apache/base-retrofit,612,80,Java,A popular Java framework for retrofit,https://github.com/apache/base-retrofit,https://github.com/apache/base-retrofit.git,2023-08-01T22:56:09.313041Z,2024-10-02T22:56:09.313045Z
347,uber/security,607,225,Java,A popular Java api for zookeeper,https://github.com/uber/security,https://github.com/uber/security.git,2021-10-13T22:56:09.338238Z,2025-04-02T22:56:09.338241Z
348,facebook/web,602,235,Java,A popular Java api for retrofit,https://github.com/facebook/web,https://github.com/facebook/web.git,2023-07-19T22:56:09.354952Z,2025-01-04T22:56:09.354955Z
349,facebook/web,594,216,Java,A popular Java server for reactor,https://github.com/facebook/web,https://github.com/facebook/web.git,2019-03-25T22:56:09.321512Z,2024-09-29T22:56:09.321515Z
350,dropbox/gson,588,128,Java,A popular Java extension for redis,https://github.com/dropbox/gson,https://github.com/dropbox/gson.git,2021-10-26T22:56:09.318903Z,2025-08-23T22:56:09.318906Z
351,gradle/okhttp,582,193,Java,A popular Java server for storm,https://github.com/gradle/okhttp,https://github.com/gradle/okhttp.git,2022-10-18T22:56:09.318634Z,2025-03-28T22:56:09.318637Z
352,redhat/reactor,582,103,Java,A popular Java client for redis,https://github.com/redhat/reactor,https://github.com/redhat/reactor.git,2011-03-29T22:56:09.341862Z,2025-08-01T22:56:09.341865Z
353,linkedin/cloud,579,103,Java,A popular Java api for hadoop,https://github.com/linkedin/cloud,https://github.com/linkedin/cloud.git,2019-02-02T22:56:09.327417Z,2025-05-25T22:56:09.327419Z
354,tencent/api-mongodb,578,37,Java,A popular Java library for reactor,https://github.com/tencent/api-mongodb,https://github.com/tencent/api-mongodb.git,2023-09-07T22:56:09.322710Z,2025-03-10T22:56:09.322714Z
355,alibaba/framework-zookeeper,573,102,Java,A popular Java core for akka,https://github.com/alibaba/framework-zookeeper,https://github.com/alibaba/framework-zookeeper.git,2012-06-28T22:56:09.323110Z,2025-08-14T22:56:09.323114Z
356,square/spark,572,104,Java,A popular Java extension for tomcat,https://github.com/square/spark,https://github.com/square/spark.git,2011-11-28T22:56:09.323712Z,2025-04-03T22:56:09.323716Z
357,atlassian/zookeeper,569,36,Java,A popular Java framework for elasticsearch,https://github.com/atlassian/zookeeper,https://github.com/atlassian/zookeeper.git,2014-03-26T22:56:09.348402Z,2025-02-17T22:56:09.348405Z
358,linkedin/kafka,569,219,Java,A popular Java shared for tomcat,https://github.com/linkedin/kafka,https://github.com/linkedin/kafka.git,2022-01-07T22:56:09.334624Z,2024-11-21T22:56:09.334628Z
359,twitter/redis,567,195,Java,A popular Java base for commons,https://github.com/twitter/redis,https://github.com/twitter/redis.git,2018-06-05T22:56:09.338938Z,2024-12-24T22:56:09.338940Z
360,apache/cassandra,566,184,Java,A popular Java plugin for mongodb,https://github.com/apache/cassandra,https://github.com/apache/cassandra.git,2024-03-28T22:56:09.350005Z,2025-06-10T22:56:09.350008Z
361,twitter/hbase,563,78,Java,A popular Java common for guava,https://github.com/twitter/hbase,https://github.com/twitter/hbase.git,2020-12-11T22:56:09.310564Z,2024-09-28T22:56:09.310568Z
362,jetbrains/httpclient,562,190,Java,A popular Java core for jetty,https://github.com/jetbrains/httpclient,https://github.com/jetbrains/httpclient.git,2023-07-17T22:56:09.339987Z,2024-11-25T22:56:09.339990Z
363,amazon/elasticsearch,558,158,Java,A popular Java utils for elasticsearch,https://github.com/amazon/elasticsearch,https://github.com/amazon/elasticsearch.git,2013-11-09T22:56:09.358400Z,2025-04-03T22:56:09.358403Z
364,sonar/core-rxjava-server,555,167,Java,A popular Java server for netty,https://github.com/sonar/core-rxjava-server,https://github.com/sonar/core-rxjava-server.git,2015-07-03T22:56:09.352744Z,2024-11-18T22:56:09.352747Z
365,atlassian/spark,555,186,Java,A popular Java utils for guava,https://github.com/atlassian/spark,https://github.com/atlassian/spark.git,2023-01-27T22:56:09.346108Z,2025-05-07T22:56:09.346110Z
366,spring/hbase,554,110,Java,A popular Java common for httpclient,https://github.com/spring/hbase,https://github.com/spring/hbase.git,2014-12-22T22:56:09.330071Z,2025-01-07T22:56:09.330169Z
367,netflix/api,547,66,Java,A popular Java service for netty,https://github.com/netflix/api,https://github.com/netflix/api.git,2016-12-31T22:56:09.318804Z,2025-01-08T22:56:09.318807Z
368,netflix/shared-tomcat,540,118,Java,A popular Java tool for netty,https://github.com/netflix/shared-tomcat,https://github.com/netflix/shared-tomcat.git,2014-09-23T22:56:09.315412Z,2025-05-08T22:56:09.315415Z
369,tencent/server-spark-next,537,85,Java,A popular Java utils for tomcat,https://github.com/tencent/server-spark-next,https://github.com/tencent/server-spark-next.git,2018-01-21T22:56:09.334828Z,2025-07-17T22:56:09.334832Z
370,oracle/httpclient,532,61,Java,A popular Java base for cloud,https://github.com/oracle/httpclient,https://github.com/oracle/httpclient.git,2019-03-01T22:56:09.355542Z,2025-08-21T22:56:09.355545Z
371,gradle/plugin-tomcat-spring,532,116,Java,A popular Java server for kafka,https://github.com/gradle/plugin-tomcat-spring,https://github.com/gradle/plugin-tomcat-spring.git,2019-10-21T22:56:09.326353Z,2025-07-30T22:56:09.326358Z
372,microsoft/reactor,530,190,Java,A popular Java service for microservice,https://github.com/microsoft/reactor,https://github.com/microsoft/reactor.git,2020-03-10T22:56:09.347472Z,2024-11-30T22:56:09.347481Z
373,twitter/netty-next,529,109,Java,A popular Java plugin for spark,https://github.com/twitter/netty-next,https://github.com/twitter/netty-next.git,2016-06-19T22:56:09.354126Z,2025-04-04T22:56:09.354129Z
374,amazon/plugin-jackson,525,206,Java,A popular Java client for rxjava,https://github.com/amazon/plugin-jackson,https://github.com/amazon/plugin-jackson.git,2017-03-01T22:56:09.320276Z,2025-03-03T22:56:09.320280Z
375,github/kafka,512,88,Java,A popular Java plugin for rest,https://github.com/github/kafka,https://github.com/github/kafka.git,2020-09-27T22:56:09.354072Z,2024-12-24T22:56:09.354075Z
376,spring/tomcat,512,100,Java,A popular Java api for jetty,https://github.com/spring/tomcat,https://github.com/spring/tomcat.git,2023-02-06T22:56:09.344536Z,2025-08-20T22:56:09.344538Z
377,gradle/retrofit,502,71,Java,A popular Java tool for hadoop,https://github.com/gradle/retrofit,https://github.com/gradle/retrofit.git,2021-06-06T22:56:09.354455Z,2025-06-17T22:56:09.354459Z
378,baidu/tomcat-java,492,59,Java,A popular Java library for okhttp,https://github.com/baidu/tomcat-java,https://github.com/baidu/tomcat-java.git,2013-05-02T22:56:09.339090Z,2024-11-15T22:56:09.339093Z
379,microsoft/api,491,109,Java,A popular Java common for kafka,https://github.com/microsoft/api,https://github.com/microsoft/api.git,2018-03-09T22:56:09.353339Z,2025-05-10T22:56:09.353343Z
380,redhat/utils-spark-next,491,140,Java,A popular Java utils for data,https://github.com/redhat/utils-spark-next,https://github.com/redhat/utils-spark-next.git,2014-12-23T22:56:09.344341Z,2025-05-27T22:56:09.344343Z
381,eclipse/redis,488,132,Java,A popular Java plugin for jackson,https://github.com/eclipse/redis,https://github.com/eclipse/redis.git,2021-01-01T22:56:09.352855Z,2025-09-08T22:56:09.352858Z
382,uber/common-cassandra-client,486,28,Java,A popular Java utils for mongodb,https://github.com/uber/common-cassandra-client,https://github.com/uber/common-cassandra-client.git,2023-11-12T22:56:09.330793Z,2025-05-23T22:56:09.330795Z
383,dropbox/data,484,167,Java,A popular Java service for boot,https://github.com/dropbox/data,https://github.com/dropbox/data.git,2016-12-16T22:56:09.359298Z,2025-03-10T22:56:09.359304Z
384,linkedin/jetty-client,484,116,Java,A popular Java client for lucene,https://github.com/linkedin/jetty-client,https://github.com/linkedin/jetty-client.git,2012-06-16T22:56:09.343541Z,2024-10-29T22:56:09.343542Z
385,square/cassandra,480,162,Java,A popular Java utils for akka,https://github.com/square/cassandra,https://github.com/square/cassandra.git,2015-10-07T22:56:09.330850Z,2025-01-21T22:56:09.330853Z
386,square/library-web,469,159,Java,A popular Java api for security,https://github.com/square/library-web,https://github.com/square/library-web.git,2022-11-30T22:56:09.342016Z,2024-12-18T22:56:09.342019Z
387,baidu/elasticsearch,468,183,Java,A popular Java shared for jetty,https://github.com/baidu/elasticsearch,https://github.com/baidu/elasticsearch.git,2015-09-25T22:56:09.346154Z,2024-11-28T22:56:09.346156Z
388,gradle/extension-guava,465,35,Java,A popular Java framework for okhttp,https://github.com/gradle/extension-guava,https://github.com/gradle/extension-guava.git,2019-11-14T22:56:09.351942Z,2025-07-27T22:56:09.351945Z
389,netflix/commons,464,55,Java,A popular Java library for hadoop,https://github.com/netflix/commons,https://github.com/netflix/commons.git,2011-01-24T22:56:09.316628Z,2024-10-27T22:56:09.316631Z
390,spring/guava,461,159,Java,A popular Java core for guava,https://github.com/spring/guava,https://github.com/spring/guava.git,2014-08-24T22:56:09.340661Z,2025-08-06T22:56:09.340664Z
